Strategy Tester Report
Symbol;EURUSD;Period;H1;Model;Every tick

Ticket,Open Time,Type,Volume,Symbol,Price,S/L,T/P,Close Time,Profit
1000042,2025.01.17 01:00:00,sell,0.50,EURUSD,1.06221,1.06721,1.05421,2025.01.17 02:00:00,29.91
1000043,2025.01.17 01:00:00,sell,0.50,EURUSD,1.06114,1.06614,1.05314,2025.01.17 06:00:00,-19.27
1000044,2025.01.17 11:00:00,buy,0.10,EURUSD,1.08508,1.08008,1.09308,2025.01.17 12:00:00,-10.79
1000045,2025.01.17 09:00:00,sell,0.50,EURUSD,1.07914,1.08414,1.07114,2025.01.17 14:00:00,22.22
1000046,2025.01.17 12:00:00,sell,0.10,EURUSD,1.07835,1.08335,1.07035,2025.01.17 18:00:00,-5.37
1000047,2025.01.17 16:00:00,sell,1.00,EURUSD,1.05280,1.05780,1.04480,2025.01.17 22:00:00,31.56
1000048,2025.01.20 07:00:00,sell,0.50,EURUSD,1.06610,1.07110,1.05810,2025.01.20 11:00:00,36.27
1000049,2025.01.20 13:00:00,buy,0.50,EURUSD,1.06624,1.06124,1.07424,2025.01.20 18:00:00,12.61
1000050,2025.01.20 18:00:00,sell,1.00,EURUSD,1.06769,1.07269,1.05969,2025.01.21 00:00:00,-80.06
1000051,2025.01.20 21:00:00,buy,0.50,EURUSD,1.07062,1.06562,1.07862,2025.01.21 03:00:00,17.17
1000052,2025.01.21 07:00:00,buy,0.20,EURUSD,1.05589,1.05089,1.06389,2025.01.21 08:00:00,-16.65
1000053,2025.01.21 15:00:00,sell,0.20,EURUSD,1.07873,1.08373,1.07073,2025.01.21 16:00:00,11.41
1000054,2025.01.21 22:00:00,buy,0.20,EURUSD,1.08216,1.07716,1.09016,2025.01.21 23:00:00,-14.01
1000055,2025.01.22 02:00:00,buy,1.00,EURUSD,1.07670,1.07170,1.08470,2025.01.22 07:00:00,75.15
1000056,2025.01.22 13:00:00,sell,1.00,EURUSD,1.08589,1.09089,1.07789,2025.01.22 16:00:00,27.77
1000057,2025.01.22 17:00:00,sell,1.00,EURUSD,1.07507,1.08007,1.06707,2025.01.22 20:00:00,11.20
1000058,2025.01.23 03:00:00,buy,0.20,EURUSD,1.05603,1.05103,1.06403,2025.01.23 05:00:00,10.43
1000059,2025.01.23 02:00:00,sell,1.00,EURUSD,1.06324,1.06824,1.05524,2025.01.23 07:00:00,22.30
1000060,2025.01.23 04:00:00,sell,1.00,EURUSD,1.05024,1.05524,1.04224,2025.01.23 08:00:00,-42.62
1000061,2025.01.23 13:00:00,buy,1.00,EURUSD,1.05878,1.05378,1.06678,2025.01.23 17:00:00,32.19
1000062,2025.01.23 14:00:00,sell,0.20,EURUSD,1.08923,1.09423,1.08123,2025.01.23 20:00:00,-14.82
1000063,2025.01.23 18:00:00,buy,1.00,EURUSD,1.05543,1.05043,1.06343,2025.01.23 21:00:00,22.50
1000064,2025.01.24 02:00:00,sell,0.50,EURUSD,1.08008,1.08508,1.07208,2025.01.24 03:00:00,13.31
1000065,2025.01.24 09:00:00,buy,0.10,EURUSD,1.09000,1.08500,1.09800,2025.01.24 11:00:00,-6.91
1000066,2025.01.24 13:00:00,buy,0.20,EURUSD,1.05954,1.05454,1.06754,2025.01.24 15:00:00,14.97
1000067,2025.01.24 22:00:00,sell,0.50,EURUSD,1.05671,1.06171,1.04871,2025.01.24 23:00:00,-37.53
1000068,2025.01.27 14:00:00,sell,1.00,EURUSD,1.08766,1.09266,1.07966,2025.01.27 16:00:00,-57.13
1000069,2025.01.27 17:00:00,sell,0.10,EURUSD,1.08185,1.08685,1.07385,2025.01.27 18:00:00,10.04
1000070,2025.01.28 00:00:00,sell,0.10,EURUSD,1.08398,1.08898,1.07598,2025.01.28 03:00:00,6.05
1000071,2025.01.28 07:00:00,buy,1.00,EURUSD,1.05705,1.05205,1.06505,2025.01.28 11:00:00,-74.14
1000072,2025.01.28 14:00:00,sell,0.50,EURUSD,1.08407,1.08907,1.07607,2025.01.28 18:00:00,31.15
1000073,2025.01.28 19:00:00,sell,1.00,EURUSD,1.06346,1.06846,1.05546,2025.01.28 22:00:00,37.67
1000074,2025.01.29 02:00:00,sell,0.50,EURUSD,1.07223,1.07723,1.06423,2025.01.29 04:00:00,6.28
1000075,2025.01.29 09:00:00,sell,0.20,EURUSD,1.07762,1.08262,1.06962,2025.01.29 11:00:00,5.82
1000076,2025.01.29 12:00:00,buy,0.50,EURUSD,1.07656,1.07156,1.08456,2025.01.29 18:00:00,-11.29
1000077,2025.01.30 02:00:00,sell,0.50,EURUSD,1.07811,1.08311,1.07011,2025.01.30 03:00:00,13.31
1000078,2025.01.30 07:00:00,buy,0.20,EURUSD,1.05866,1.05366,1.06666,2025.01.30 12:00:00,-10.48
1000079,2025.01.30 16:00:00,buy,0.20,EURUSD,1.06185,1.05685,1.06985,2025.01.30 17:00:00,5.95
1000080,2025.01.30 17:00:00,sell,0.20,EURUSD,1.07551,1.08051,1.06751,2025.01.30 18:00:00,8.52
1000081,2025.01.30 22:00:00,sell,1.00,EURUSD,1.06762,1.07262,1.05962,2025.01.30 23:00:00,42.19
1000082,2025.01.31 01:00:00,sell,0.10,EURUSD,1.07308,1.07808,1.06508,2025.01.31 06:00:00,6.44
1000083,2025.01.31 07:00:00,buy,0.20,EURUSD,1.05474,1.04974,1.06274,2025.01.31 11:00:00,-6.35
1000084,2025.01.31 17:00:00,sell,1.00,EURUSD,1.06222,1.06722,1.05422,2025.01.31 19:00:00,-33.43
1000085,2025.01.31 18:00:00,sell,0.10,EURUSD,1.05628,1.06128,1.04828,2025.01.31 23:00:00,8.83
1000086,2025.02.03 01:00:00,buy,0.50,EURUSD,1.07828,1.07328,1.08628,2025.02.03 07:00:00,5.32
1000087,2025.02.03 09:00:00,sell,0.20,EURUSD,1.06701,1.07201,1.05901,2025.02.03 11:00:00,-11.88
1000088,2025.02.03 11:00:00,sell,1.00,EURUSD,1.05497,1.05997,1.04697,2025.02.03 16:00:00,-51.46
1000089,2025.02.03 19:00:00,sell,1.00,EURUSD,1.05322,1.05822,1.04522,2025.02.04 01:00:00,-12.58
1000090,2025.02.03 23:00:00,sell,0.10,EURUSD,1.08052,1.08552,1.07252,2025.02.04 02:00:00,-7.13
1000091,2025.02.04 03:00:00,sell,1.00,EURUSD,1.08876,1.09376,1.08076,2025.02.04 05:00:00,12.10
1000092,2025.02.04 07:00:00,sell,1.00,EURUSD,1.06153,1.06653,1.05353,2025.02.04 11:00:00,-20.44
1000093,2025.02.04 07:00:00,sell,0.50,EURUSD,1.06293,1.06793,1.05493,2025.02.04 13:00:00,56.89
1000094,2025.02.04 18:00:00,sell,1.00,EURUSD,1.05217,1.05717,1.04417,2025.02.04 22:00:00,-14.53
1000095,2025.02.04 18:00:00,buy,0.50,EURUSD,1.07197,1.06697,1.07997,2025.02.04 23:00:00,-10.07
1000096,2025.02.05 02:00:00,buy,0.50,EURUSD,1.07203,1.06703,1.08003,2025.02.05 03:00:00,13.44
1000097,2025.02.05 09:00:00,buy,0.20,EURUSD,1.06994,1.06494,1.07794,2025.02.05 11:00:00,-8.95
1000098,2025.02.05 18:00:00,buy,1.00,EURUSD,1.05762,1.05262,1.06562,2025.02.05 19:00:00,-55.27
1000099,2025.02.05 18:00:00,sell,0.50,EURUSD,1.08737,1.09237,1.07937,2025.02.06 00:00:00,-8.44
1000100,2025.02.06 03:00:00,buy,1.00,EURUSD,1.07154,1.06654,1.07954,2025.02.06 08:00:00,33.85
1000101,2025.02.06 11:00:00,sell,0.50,EURUSD,1.08478,1.08978,1.07678,2025.02.06 15:00:00,30.55
1000102,2025.02.06 10:00:00,sell,1.00,EURUSD,1.07821,1.08321,1.07021,2025.02.06 16:00:00,51.22
1000103,2025.02.06 18:00:00,sell,0.10,EURUSD,1.05505,1.06005,1.04705,2025.02.06 19:00:00,10.46
1000104,2025.02.07 00:00:00,sell,0.10,EURUSD,1.07890,1.08390,1.07090,2025.02.07 04:00:00,-7.12
1000105,2025.02.07 03:00:00,sell,1.00,EURUSD,1.07599,1.08099,1.06799,2025.02.07 09:00:00,-23.77
1000106,2025.02.07 15:00:00,buy,0.10,EURUSD,1.05939,1.05439,1.06739,2025.02.07 17:00:00,7.65
1000107,2025.02.07 18:00:00,sell,0.10,EURUSD,1.08041,1.08541,1.07241,2025.02.07 19:00:00,6.48
1000108,2025.02.07 15:00:00,sell,0.10,EURUSD,1.06173,1.06673,1.05373,2025.02.07 20:00:00,7.55
1000109,2025.02.10 12:00:00,buy,0.20,EURUSD,1.05700,1.05200,1.06500,2025.02.10 17:00:00,8.35
1000110,2025.02.10 16:00:00,buy,1.00,EURUSD,1.07552,1.07052,1.08352,2025.02.10 20:00:00,-52.67
1000111,2025.02.10 22:00:00,buy,0.10,EURUSD,1.06767,1.06267,1.07567,2025.02.11 01:00:00,-6.26
1000112,2025.02.11 02:00:00,sell,1.00,EURUSD,1.05427,1.05927,1.04627,2025.02.11 05:00:00,33.18
1000113,2025.02.11 06:00:00,buy,1.00,EURUSD,1.06098,1.05598,1.06898,2025.02.11 10:00:00,-5.71
1000114,2025.02.11 09:00:00,buy,0.50,EURUSD,1.05876,1.05376,1.06676,2025.02.11 15:00:00,10.55
1000115,2025.02.11 12:00:00,buy,0.10,EURUSD,1.06236,1.05736,1.07036,2025.02.11 18:00:00,-4.53
1000116,2025.02.11 22:00:00,buy,0.20,EURUSD,1.05529,1.05029,1.06329,2025.02.12 01:00:00,-8.17
1000117,2025.02.12 02:00:00,sell,1.00,EURUSD,1.08870,1.09370,1.08070,2025.02.12 04:00:00,-13.52
1000118,2025.02.12 05:00:00,sell,0.10,EURUSD,1.08163,1.08663,1.07363,2025.02.12 11:00:00,-8.47
1000119,2025.02.12 11:00:00,sell,0.50,EURUSD,1.05433,1.05933,1.04633,2025.02.12 16:00:00,21.78
1000120,2025.02.12 18:00:00,buy,1.00,EURUSD,1.08638,1.08138,1.09438,2025.02.12 20:00:00,34.88
1000121,2025.02.12 18:00:00,buy,0.50,EURUSD,1.08984,1.08484,1.09784,2025.02.12 21:00:00,21.88
1000122,2025.02.13 03:00:00,sell,0.20,EURUSD,1.08542,1.09042,1.07742,2025.02.13 06:00:00,-7.08
1000123,2025.02.13 01:00:00,sell,0.20,EURUSD,1.06774,1.07274,1.05974,2025.02.13 07:00:00,-14.01
1000124,2025.02.13 12:00:00,buy,1.00,EURUSD,1.06104,1.05604,1.06904,2025.02.13 13:00:00,-43.15
1000125,2025.02.13 12:00:00,buy,0.10,EURUSD,1.08147,1.07647,1.08947,2025.02.13 17:00:00,6.21
1000126,2025.02.13 19:00:00,buy,0.20,EURUSD,1.06314,1.05814,1.07114,2025.02.13 21:00:00,-4.24
1000127,2025.02.13 19:00:00,sell,0.20,EURUSD,1.05440,1.05940,1.04640,2025.02.14 00:00:00,12.76
1000128,2025.02.14 05:00:00,buy,0.20,EURUSD,1.06061,1.05561,1.06861,2025.02.14 06:00:00,14.59
1000129,2025.02.14 07:00:00,sell,1.00,EURUSD,1.08112,1.08612,1.07312,2025.02.14 08:00:00,89.38
1000130,2025.02.14 13:00:00,sell,1.00,EURUSD,1.07573,1.08073,1.06773,2025.02.14 17:00:00,-8.50
1000131,2025.02.14 14:00:00,sell,1.00,EURUSD,1.05294,1.05794,1.04494,2025.02.14 19:00:00,-33.17
1000132,2025.02.17 10:00:00,sell,1.00,EURUSD,1.07022,1.07522,1.06222,2025.02.17 16:00:00,-12.50
1000133,2025.02.18 00:00:00,buy,1.00,EURUSD,1.06806,1.06306,1.07606,2025.02.18 01:00:00,39.76
1000134,2025.02.18 03:00:00,sell,0.50,EURUSD,1.07660,1.08160,1.06860,2025.02.18 07:00:00,10.23
1000135,2025.02.18 04:00:00,buy,0.10,EURUSD,1.05373,1.04873,1.06173,2025.02.18 09:00:00,-7.04
1000136,2025.02.18 12:00:00,sell,0.10,EURUSD,1.06643,1.07143,1.05843,2025.02.18 18:00:00,-8.71
1000137,2025.02.18 18:00:00,sell,0.50,EURUSD,1.06407,1.06907,1.05607,2025.02.18 19:00:00,11.90
1000138,2025.02.18 20:00:00,sell,0.10,EURUSD,1.08050,1.08550,1.07250,2025.02.19 01:00:00,-8.54
1000139,2025.02.19 08:00:00,buy,0.50,EURUSD,1.05116,1.04616,1.05916,2025.02.19 10:00:00,-15.64
1000140,2025.02.19 12:00:00,buy,0.20,EURUSD,1.07964,1.07464,1.08764,2025.02.19 17:00:00,8.08
1000141,2025.02.19 16:00:00,sell,1.00,EURUSD,1.06815,1.07315,1.06015,2025.02.19 21:00:00,42.56
1000142,2025.02.19 17:00:00,buy,0.20,EURUSD,1.05630,1.05130,1.06430,2025.02.19 23:00:00,-17.17
1000143,2025.02.20 01:00:00,sell,1.00,EURUSD,1.06657,1.07157,1.05857,2025.02.20 06:00:00,-16.11
1000144,2025.02.20 12:00:00,sell,0.10,EURUSD,1.05882,1.06382,1.05082,2025.02.20 14:00:00,6.40
1000145,2025.02.20 17:00:00,buy,0.20,EURUSD,1.08057,1.07557,1.08857,2025.02.20 19:00:00,12.43
1000146,2025.02.21 01:00:00,buy,0.50,EURUSD,1.05288,1.04788,1.06088,2025.02.21 02:00:00,5.31
1000147,2025.02.21 07:00:00,buy,0.50,EURUSD,1.07303,1.06803,1.08103,2025.02.21 10:00:00,-8.92
1000148,2025.02.21 08:00:00,sell,0.50,EURUSD,1.05353,1.05853,1.04553,2025.02.21 13:00:00,9.28
1000149,2025.02.21 14:00:00,buy,1.00,EURUSD,1.08482,1.07982,1.09282,2025.02.21 20:00:00,7.54
1000150,2025.02.21 21:00:00,buy,0.50,EURUSD,1.06404,1.05904,1.07204,2025.02.21 22:00:00,-9.35
1000151,2025.02.24 05:00:00,buy,0.20,EURUSD,1.08041,1.07541,1.08841,2025.02.24 10:00:00,6.17
1000152,2025.02.24 15:00:00,sell,0.50,EURUSD,1.05604,1.06104,1.04804,2025.02.24 18:00:00,25.22
1000153,2025.02.24 22:00:00,buy,0.50,EURUSD,1.07029,1.06529,1.07829,2025.02.24 23:00:00,-26.82
1000154,2025.02.25 03:00:00,sell,1.00,EURUSD,1.07321,1.07821,1.06521,2025.02.25 08:00:00,-20.38
1000155,2025.02.25 06:00:00,sell,1.00,EURUSD,1.07005,1.07505,1.06205,2025.02.25 12:00:00,29.93
1000156,2025.02.25 09:00:00,buy,0.10,EURUSD,1.05991,1.05491,1.06791,2025.02.25 14:00:00,11.19
1000157,2025.02.25 14:00:00,sell,0.50,EURUSD,1.08672,1.09172,1.07872,2025.02.25 17:00:00,-8.07
1000158,2025.02.25 13:00:00,sell,0.10,EURUSD,1.07232,1.07732,1.06432,2025.02.25 19:00:00,6.04
1000159,2025.02.25 18:00:00,sell,0.10,EURUSD,1.07331,1.07831,1.06531,2025.02.25 22:00:00,10.31
1000160,2025.02.25 23:00:00,buy,0.50,EURUSD,1.07236,1.06736,1.08036,2025.02.26 01:00:00,10.46
1000161,2025.02.26 06:00:00,buy,1.00,EURUSD,1.07034,1.06534,1.07834,2025.02.26 10:00:00,35.51
1000162,2025.02.26 09:00:00,buy,0.20,EURUSD,1.05620,1.05120,1.06420,2025.02.26 14:00:00,-6.97
1000163,2025.02.26 18:00:00,buy,0.50,EURUSD,1.08506,1.08006,1.09306,2025.02.26 23:00:00,-12.56
1000164,2025.02.26 22:00:00,sell,0.10,EURUSD,1.06643,1.07143,1.05843,2025.02.27 02:00:00,6.82
1000165,2025.02.27 02:00:00,sell,0.20,EURUSD,1.07136,1.07636,1.06336,2025.02.27 07:00:00,-16.61
1000166,2025.02.27 13:00:00,sell,0.50,EURUSD,1.08112,1.08612,1.07312,2025.02.27 15:00:00,11.43
1000167,2025.02.27 14:00:00,buy,0.50,EURUSD,1.05209,1.04709,1.06009,2025.02.27 19:00:00,30.27
1000168,2025.02.27 17:00:00,sell,0.10,EURUSD,1.08052,1.08552,1.07252,2025.02.27 21:00:00,-5.69
1000169,2025.02.27 22:00:00,buy,1.00,EURUSD,1.08539,1.08039,1.09339,2025.02.27 23:00:00,-29.77
1000170,2025.02.28 03:00:00,buy,0.10,EURUSD,1.06275,1.05775,1.07075,2025.02.28 05:00:00,-6.35
1000171,2025.02.28 07:00:00,buy,0.50,EURUSD,1.08670,1.08170,1.09470,2025.02.28 08:00:00,-6.52
1000172,2025.02.28 08:00:00,sell,0.20,EURUSD,1.08340,1.08840,1.07540,2025.02.28 09:00:00,-13.08
1000173,2025.02.28 10:00:00,buy,0.50,EURUSD,1.05487,1.04987,1.06287,2025.02.28 14:00:00,-11.44
1000174,2025.02.28 20:00:00,buy,0.20,EURUSD,1.07874,1.07374,1.08674,2025.02.28 23:00:00,6.76
1000175,2025.03.03 12:00:00,buy,0.10,EURUSD,1.07094,1.06594,1.07894,2025.03.03 13:00:00,-10.97
1000176,2025.03.03 19:00:00,sell,0.10,EURUSD,1.07543,1.08043,1.06743,2025.03.03 20:00:00,6.68
1000177,2025.03.04 00:00:00,buy,0.50,EURUSD,1.05965,1.05465,1.06765,2025.03.04 02:00:00,30.61
1000178,2025.03.03 21:00:00,sell,0.50,EURUSD,1.08254,1.08754,1.07454,2025.03.04 03:00:00,-19.07
1000179,2025.03.04 09:00:00,buy,0.20,EURUSD,1.05252,1.04752,1.06052,2025.03.04 11:00:00,5.56
1000180,2025.03.04 06:00:00,sell,0.50,EURUSD,1.07062,1.07562,1.06262,2025.03.04 12:00:00,-8.56
1000181,2025.03.04 12:00:00,sell,0.50,EURUSD,1.08449,1.08949,1.07649,2025.03.04 16:00:00,-9.20
1000182,2025.03.04 19:00:00,sell,0.50,EURUSD,1.08895,1.09395,1.08095,2025.03.05 00:00:00,-45.21
1000183,2025.03.04 23:00:00,buy,1.00,EURUSD,1.05316,1.04816,1.06116,2025.03.05 05:00:00,-25.85
1000184,2025.03.05 09:00:00,sell,1.00,EURUSD,1.07410,1.07910,1.06610,2025.03.05 10:00:00,-12.46
1000185,2025.03.05 11:00:00,sell,0.50,EURUSD,1.07558,1.08058,1.06758,2025.03.05 16:00:00,13.49
1000186,2025.03.05 17:00:00,buy,0.20,EURUSD,1.08395,1.07895,1.09195,2025.03.05 19:00:00,11.29
1000187,2025.03.05 18:00:00,buy,0.50,EURUSD,1.06449,1.05949,1.07249,2025.03.05 21:00:00,15.91
1000188,2025.03.06 01:00:00,sell,0.10,EURUSD,1.07296,1.07796,1.06496,2025.03.06 03:00:00,-8.87
1000189,2025.03.06 00:00:00,buy,0.20,EURUSD,1.06996,1.06496,1.07796,2025.03.06 05:00:00,-5.23
1000190,2025.03.06 04:00:00,sell,0.20,EURUSD,1.05491,1.05991,1.04691,2025.03.06 10:00:00,10.42
1000191,2025.03.06 12:00:00,buy,0.50,EURUSD,1.07671,1.07171,1.08471,2025.03.06 18:00:00,-6.92
1000192,2025.03.06 17:00:00,sell,0.20,EURUSD,1.05485,1.05985,1.04685,2025.03.06 21:00:00,10.72
1000193,2025.03.06 18:00:00,sell,0.50,EURUSD,1.06870,1.07370,1.06070,2025.03.06 22:00:00,9.82
1000194,2025.03.07 02:00:00,sell,1.00,EURUSD,1.08293,1.08793,1.07493,2025.03.07 06:00:00,-14.74
1000195,2025.03.07 13:00:00,sell,0.20,EURUSD,1.08512,1.09012,1.07712,2025.03.07 14:00:00,-12.05
1000196,2025.03.07 11:00:00,buy,0.50,EURUSD,1.05659,1.05159,1.06459,2025.03.07 16:00:00,-42.17
1000197,2025.03.07 20:00:00,buy,0.50,EURUSD,1.05785,1.05285,1.06585,2025.03.07 21:00:00,22.08
1000198,2025.03.10 04:00:00,buy,0.20,EURUSD,1.07635,1.07135,1.08435,2025.03.10 09:00:00,11.83
1000199,2025.03.10 04:00:00,buy,0.10,EURUSD,1.05182,1.04682,1.05982,2025.03.10 10:00:00,-8.05
1000200,2025.03.10 05:00:00,sell,0.50,EURUSD,1.07568,1.08068,1.06768,2025.03.10 11:00:00,29.29
1000201,2025.03.10 13:00:00,sell,1.00,EURUSD,1.05292,1.05792,1.04492,2025.03.10 18:00:00,28.53
1000202,2025.03.10 18:00:00,sell,0.50,EURUSD,1.07937,1.08437,1.07137,2025.03.10 21:00:00,-4.80
1000203,2025.03.11 02:00:00,buy,0.50,EURUSD,1.05967,1.05467,1.06767,2025.03.11 06:00:00,8.57
1000204,2025.03.11 11:00:00,buy,0.20,EURUSD,1.08254,1.07754,1.09054,2025.03.11 13:00:00,-5.49
1000205,2025.03.11 19:00:00,sell,1.00,EURUSD,1.08516,1.09016,1.07716,2025.03.11 21:00:00,35.31
1000206,2025.03.11 21:00:00,sell,0.10,EURUSD,1.05202,1.05702,1.04402,2025.03.12 01:00:00,-8.09
1000207,2025.03.12 01:00:00,buy,0.10,EURUSD,1.06724,1.06224,1.07524,2025.03.12 06:00:00,-4.97
1000208,2025.03.12 10:00:00,buy,0.50,EURUSD,1.07213,1.06713,1.08013,2025.03.12 15:00:00,21.64
1000209,2025.03.12 18:00:00,buy,0.20,EURUSD,1.08900,1.08400,1.09700,2025.03.12 20:00:00,-15.90
1000210,2025.03.13 01:00:00,sell,0.10,EURUSD,1.05181,1.05681,1.04381,2025.03.13 05:00:00,12.01
1000211,2025.03.13 09:00:00,sell,0.20,EURUSD,1.07425,1.07925,1.06625,2025.03.13 14:00:00,8.16
1000212,2025.03.13 13:00:00,sell,1.00,EURUSD,1.07835,1.08335,1.07035,2025.03.13 19:00:00,-17.12
1000213,2025.03.13 16:00:00,sell,0.50,EURUSD,1.08187,1.08687,1.07387,2025.03.13 21:00:00,-31.46
1000214,2025.03.13 23:00:00,buy,1.00,EURUSD,1.05682,1.05182,1.06482,2025.03.14 01:00:00,-14.00
1000215,2025.03.14 00:00:00,buy,0.10,EURUSD,1.05763,1.05263,1.06563,2025.03.14 05:00:00,7.02
1000216,2025.03.14 09:00:00,buy,0.20,EURUSD,1.07075,1.06575,1.07875,2025.03.14 13:00:00,-7.36
1000217,2025.03.14 13:00:00,buy,1.00,EURUSD,1.08648,1.08148,1.09448,2025.03.14 19:00:00,12.70
1000218,2025.03.17 11:00:00,buy,0.20,EURUSD,1.06116,1.05616,1.06916,2025.03.17 14:00:00,-20.73
1000219,2025.03.17 13:00:00,sell,0.50,EURUSD,1.06919,1.07419,1.06119,2025.03.17 18:00:00,-7.89
1000220,2025.03.17 22:00:00,sell,0.50,EURUSD,1.08818,1.09318,1.08018,2025.03.18 01:00:00,19.19
